config,run_id,hb_interval_ms,hb_timeout_ms,repl_mode,fault_type,detection_latency_ms,downtime_ms,write_latency_median_us,write_latency_p95_us,write_latency_p99_us,throughput_ops_sec,total_ops,success_ops,failed_ops,false_positives,repl_skipped_count
phi_delay_fast_sync,phi_delay_fast_sync_t4_1776263385975,50,150,sync,delay,36,11,191.0,430.04999999999995,482.0799999999999,77.81091946569835,600,600,0,0,163
phi_delay_fast_sync,phi_delay_fast_sync_t5_1776263396182,50,150,sync,delay,76,518,205.0,460.04999999999995,675.04,78.21666014861165,600,600,0,0,170
phi_delay_slow_async,phi_delay_slow_async_t1_1776263406441,200,600,async,delay,427,11,166.0,281.2999999999997,718.1199999999972,82.41758241758241,600,600,0,0,171
phi_delay_slow_async,phi_delay_slow_async_t2_1776263417008,200,600,async,delay,419,11,186.0,291.0999999999999,588.1699999999998,83.05647840531562,600,600,0,0,169
phi_delay_slow_async,phi_delay_slow_async_t3_1776263427560,200,600,async,delay,443,6,182.0,277.04999999999995,358.1299999999999,83.05647840531562,600,600,0,0,173
phi_delay_slow_async,phi_delay_slow_async_t4_1776263438187,200,600,async,delay,442,7,184.0,296.1999999999998,537.1499999999999,83.22929671244279,600,600,0,0,150
phi_delay_slow_async,phi_delay_slow_async_t5_1776263448808,200,600,async,delay,463,1,179.0,279.0,453.50999999999954,82.930200414651,600,600,0,0,155
phi_fast_async_repl,phi_fast_async_repl_t1_1777060902525,50,150,async,crash,65,9,239.0,354.0,382.01,83.24084350721421,600,600,0,0,156
phi_fast_async_repl,phi_fast_async_repl_t2_1777060912727,50,150,async,crash,56,8,244.0,357.0,421.14999999999986,83.14855875831485,600,600,0,0,176
phi_fast_async_repl,phi_fast_async_repl_t3_1776263324771,50,150,async,crash,29,10,167.0,271.0999999999999,339.0799999999999,83.42602892102336,600,600,0,0,173
phi_fast_async_repl,phi_fast_async_repl_t4_1776263334973,50,150,async,crash,38,2,180.5,285.3499999999997,367.03999999999996,83.70535714285714,600,600,0,0,154
phi_fast_async_repl,phi_fast_async_repl_t5_1776263345175,50,150,async,crash,29,0,167.0,262.0999999999999,316.05999999999995,82.89582757667864,600,600,0,0,186
phi_fast_no_repl,phi_fast_no_repl_t1_1777060861602,50,150,none,crash,61,2,230.5,318.0,362.01,83.95130824122009,600,600,0,0,0
phi_fast_no_repl,phi_fast_no_repl_t2_1777060871796,50,150,none,crash,102,3,225.0,314.04999999999995,349.05999999999995,84.03361344537815,600,600,0,0,0
phi_fast_no_repl,phi_fast_no_repl_t3_1776263159744,50,150,none,crash,66,6,167.0,262.0,300.03,84.01008120974517,600,600,0,0,0
phi_fast_no_repl,phi_fast_no_repl_t4_1776263169999,50,150,none,crash,54,2,178.0,264.04999999999995,318.0,83.14855875831485,600,600,0,0,0
phi_fast_no_repl,phi_fast_no_repl_t5_1776263180196,50,150,none,crash,41,11,169.5,253.0,293.0,83.76378612313276,600,600,0,0,0
phi_fast_sync_repl,phi_fast_sync_repl_t1_1777060882056,50,150,sync,crash,109,2,245.0,609.1499999999999,689.04,84.06893652795293,600,600,0,0,160
phi_fast_sync_repl,phi_fast_sync_repl_t2_1777060892325,50,150,sync,crash,32,4,246.0,604.1499999999999,669.05,84.3644544431946,600,600,0,0,158
phi_fast_sync_repl,phi_fast_sync_repl_t3_1776263273754,50,150,sync,crash,29,10,180.5,424.0,589.3999999999996,82.930200414651,600,600,0,0,184
phi_fast_sync_repl,phi_fast_sync_repl_t4_1776263283959,50,150,sync,crash,37,2,190.5,468.0,605.1299999999999,82.66740148801323,600,600,0,0,179
phi_fast_sync_repl,phi_fast_sync_repl_t5_1776263294167,50,150,sync,crash,57,12,222.0,573.8499999999992,4946.209999999999,81.81074447777475,600,600,0,0,194
phi_slow_no_repl,phi_slow_no_repl_t1_1776263190390,200,600,none,crash,438,1,178.0,282.04999999999995,358.38999999999965,83.53055826256438,600,600,0,0,0
phi_slow_no_repl,phi_slow_no_repl_t2_1776263201016,200,600,none,crash,427,2,164.5,289.04999999999995,1162.6299999999994,83.12551953449709,600,600,0,0,0
phi_slow_no_repl,phi_slow_no_repl_t3_1776263211617,200,600,none,crash,446,0,156.5,256.0,304.01,83.2870627429206,600,600,0,0,0
phi_slow_no_repl,phi_slow_no_repl_t4_1776263222211,200,600,none,crash,441,2,165.0,276.04999999999995,332.1099999999999,83.43763037129746,600,600,0,0,0
phi_slow_no_repl,phi_slow_no_repl_t5_1776263232807,200,600,none,crash,407,3,157.0,249.0,323.0,83.43763037129746,600,600,0,0,0
zipf_fast_async,zipf_fast_async_t1_1777060963982,50,150,async,crash,115,10,183.0,297.0,394.0199999999995,332.871012482663,2400,2400,0,0,661
zipf_fast_async,zipf_fast_async_t2_1777060974282,50,150,async,crash,142,4,170.0,281.0,370.0,331.6291280917507,2400,2400,0,0,648
zipf_fast_async,zipf_fast_async_t3_1776263541470,50,150,async,crash,157,0,137.0,271.0,821.1899999999955,330.98882912701697,2400,2400,0,0,686
zipf_fast_async,zipf_fast_async_t4_1776263551777,50,150,async,crash,138,4,130.0,233.0,343.00999999999976,332.08800332088003,2400,2400,0,0,663
zipf_fast_async,zipf_fast_async_t5_1776263562068,50,150,async,crash,111,1,122.0,217.04999999999973,296.00999999999976,330.80634045485874,2400,2400,0,0,686
zipf_fast_sync,zipf_fast_sync_t1_1777060943392,50,150,sync,crash,134,1,190.0,552.0999999999995,734.0299999999993,332.871012482663,2400,2400,0,0,713
zipf_fast_sync,zipf_fast_sync_t2_1777060953684,50,150,sync,crash,146,2,201.0,532.1999999999989,732.0199999999995,331.49171270718233,2400,2400,0,0,706
zipf_fast_sync,zipf_fast_sync_t3_1776263480001,50,150,sync,crash,,1,121.0,631.0499999999997,9096.929999999955,321.02728731942216,2400,2400,0,0,782
zipf_fast_sync,zipf_fast_sync_t4_1776263500148,50,150,sync,crash,104,3,200.0,465.0499999999997,779.0299999999993,333.1482509716824,2400,2400,0,0,669
zipf_fast_sync,zipf_fast_sync_t5_1776263510457,50,150,sync,crash,114,2,150.0,398.0499999999997,548.0899999999979,331.44593288219863,2400,2400,0,0,655
zipf_phi_async,zipf_phi_async_t1_1776263623515,50,150,async,crash,84,5,127.0,224.0,286.0299999999993,331.1258278145695,2400,2400,0,0,691
zipf_phi_async,zipf_phi_async_t2_1776263633739,50,150,async,crash,59,0,131.0,236.0,296.0199999999995,331.3544111555985,2400,2400,0,0,679
zipf_phi_async,zipf_phi_async_t3_1776263643968,50,150,async,crash,41,0,127.0,216.0,256.0,331.26293995859214,2400,2400,0,0,695
zipf_phi_async,zipf_phi_async_t4_1776263654194,50,150,async,crash,46,2,128.0,226.04999999999973,290.0,330.80634045485874,2400,2400,0,0,699
zipf_phi_async,zipf_phi_async_t5_1776263664420,50,150,async,crash,48,8,132.0,285.0499999999997,1010.169999999996,332.5942350332594,2400,2400,0,0,681
zipf_phi_sync,zipf_phi_sync_t1_1776263572349,50,150,sync,crash,32,2,113.0,387.0499999999997,552.0299999999993,333.6113427856547,2400,2400,0,0,680
zipf_phi_sync,zipf_phi_sync_t2_1776263582563,50,150,sync,crash,116,1,151.0,432.0499999999997,740.2599999999939,334.77472450829964,2400,2400,0,0,632
zipf_phi_sync,zipf_phi_sync_t3_1776263592842,50,150,sync,crash,70,1,155.0,397.0499999999997,555.0299999999993,332.6864430274466,2400,2400,0,0,660
zipf_phi_sync,zipf_phi_sync_t4_1776263603066,50,150,sync,crash,44,1,147.0,389.0499999999997,516.039999999999,331.21722329561135,2400,2400,0,0,668
zipf_phi_sync,zipf_phi_sync_t5_1776263613291,50,150,sync,crash,79,4,138.0,416.0,562.0299999999993,331.44593288219863,2400,2400,0,0,700
